k              x_k         f_x_k       e_k         
    0.000000    0.000000  -16.000000    0.166667
    1.000000    1.000000  275.000000    0.833333
    2.000000    0.054983  -11.762169    0.111684
    3.000000    0.093745   -8.166865    0.072922
    4.000000    0.181794    1.930030    0.015127
    5.000000    0.164963   -0.212178    0.001703
    6.000000    0.166630   -0.004553    0.000036
    7.000000    0.166667    0.000011    0.000000
    8.000000    0.166667   -0.000000    0.000000
