k              a           b           x_k         f_x_k       e_k         
    0.000000    0.000000    1.000000    0.000000  -16.000000    0.166667
    1.000000    0.000000    0.500000    0.500000   63.750000    0.333333
    2.000000    0.000000    0.250000    0.250000   11.679688    0.083333
    3.000000    0.125000    0.250000    0.125000   -4.894043    0.041667
    4.000000    0.125000    0.187500    0.187500    2.679596    0.020833
    5.000000    0.156250    0.187500    0.156250   -1.281210    0.010417
    6.000000    0.156250    0.171875    0.171875    0.655194    0.005208
    7.000000    0.164062    0.171875    0.164062   -0.323943    0.002604
    8.000000    0.164062    0.167969    0.167969    0.162884    0.001302
    9.000000    0.166016    0.167969    0.166016   -0.081214    0.000651
   10.000000    0.166016    0.166992    0.166992    0.040664    0.000325
   11.000000    0.166504    0.166992    0.166504   -0.020318    0.000163
   12.000000    0.166504    0.166748    0.166748    0.010162    0.000081
   13.000000    0.166626    0.166748    0.166626   -0.005080    0.000041
   14.000000    0.166626    0.166687    0.166687    0.002540    0.000020
   15.000000    0.166656    0.166687    0.166656   -0.001270    0.000010
   16.000000    0.166656    0.166672    0.166672    0.000635    0.000005
   17.000000    0.166664    0.166672    0.166664   -0.000318    0.000003
   18.000000    0.166664    0.166668    0.166668    0.000159    0.000001
   19.000000    0.166666    0.166668    0.166666   -0.000079    0.000001
   20.000000    0.000000    0.000000    0.166667    0.000040    0.000000
